Tên,Đánh giá,Link Google Map,Số đánh giá
Au Lac do Brazil Nguyen Hue,"4,3",https://www.google.com/maps/place/Au+Lac+do+Brazil+Nguyen+Hue/data=!4m7!3m6!1s0x31752fdf83fc2e8b:0x804c226e783578c3!8m2!3d10.7744375!4d106.7027098!16s%2Fg%2F11vzrpr62x!19sChIJiy78g98vdTERw3g1eG4iTIA?authuser=0&hl=vi&rclk=1,129
GoGi House,"3,9",https://www.google.com/maps/place/GoGi+House/data=!4m7!3m6!1s0x31752fd65664ea59:0xe6a525b021e078f!8m2!3d10.7733531!4d106.7038615!16s%2Fg%2F11j4qh4r8h!19sChIJWepkVtYvdTERjwceAltSag4?authuser=0&hl=vi&rclk=1,485
Nhà Hàng Phượng Hoàng 西贡凤凰饭店,"3,9",https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Ph%C6%B0%E1%BB%A3ng+Ho%C3%A0ng+%E8%A5%BF%E8%B4%A1%E5%87%A4%E5%87%B0%E9%A5%AD%E5%BA%97/data=!4m7!3m6!1s0x31752fb8ea7e42f3:0x8d4ad722ed98e0e5!8m2!3d10.7752001!4d106.7029266!16s%2Fg%2F11krh2zt8d!19sChIJ80J-6rgvdTER5eCY7SLXSo0?authuser=0&hl=vi&rclk=1,144
Nhà hàng Long Triều,"4,1",https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Long+Tri%E1%BB%81u/data=!4m7!3m6!1s0x31752fdc743f45e9:0x4668fd4f38d9116!8m2!3d10.7739212!4d106.7050054!16s%2Fg%2F11txjlwtvv!19sChIJ6UU_dNwvdTERFpGN89SPZgQ?authuser=0&hl=vi&rclk=1,69
Nhà hàng Cung Đình Rex,"4,5",https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Cung+%C4%90%C3%ACnh+Rex/data=!4m7!3m6!1s0x31752f47a1c2aaa5:0x1b18ca8c9a4fbd1c!8m2!3d10.7757367!4d106.701105!16s%2Fg%2F1pzwkxghy!19sChIJparCoUcvdTERHL1PmozKGBs?authuser=0&hl=vi&rclk=1,77
Cơm Tấm Cali - Nguyễn Huệ,"3,6",https://www.google.com/maps/place/C%C6%A1m+T%E1%BA%A5m+Cali+-+Nguy%E1%BB%85n+Hu%E1%BB%87/data=!4m7!3m6!1s0x31752f46ebbead5b:0x5a82238b043fa8dd!8m2!3d10.7741696!4d106.7040682!16s%2Fg%2F11c5gbnbvw!19sChIJW62-60YvdTER3ag_BIsjglo?authuser=0&hl=vi&rclk=1,576
Chi Rứa Quán | Nhà Hàng Huế Quận 1,"4,1",https://www.google.com/maps/place/Chi+R%E1%BB%A9a+Qu%C3%A1n+%7C+Nh%C3%A0+H%C3%A0ng+Hu%E1%BA%BF+Qu%E1%BA%ADn+1/data=!4m7!3m6!1s0x31752fe739a5745f:0xc682543eea468108!8m2!3d10.785132!4d106.701063!16s%2Fg%2F11qbr2bzsj!19sChIJX3SlOecvdTERCIFG6j5UgsY?authuser=0&hl=vi&rclk=1,321
Haan - Drink & Eatery,"4,3",https://www.google.com/maps/place/Haan+-+Drink+%26+Eatery/data=!4m7!3m6!1s0x31752f78c6c04d77:0xc893d29e0d706a52!8m2!3d10.7733531!4d106.7038615!16s%2Fg%2F11h1kzprgz!19sChIJd03AxngvdTERUmpwDZ7Sk8g?authuser=0&hl=vi&rclk=1,62
SH Garden,"4,3",https://www.google.com/maps/place/SH+Garden/data=!4m7!3m6!1s0x31752f43036fa939:0x5b67743a23d3f87f!8m2!3d10.7744219!4d106.7051699!16s%2Fg%2F11j38jn6pl!19sChIJOalvA0MvdTERf_jTIzp0Z1s?authuser=0&hl=vi&rclk=1,581
Hàng Dương Quán Quận 1,"4,5",https://www.google.com/maps/place/H%C3%A0ng+D%C6%B0%C6%A1ng+Qu%C3%A1n+Qu%E1%BA%ADn+1/data=!4m7!3m6!1s0x3168532aa82ab9f1:0x5f471336cc2918b1!8m2!3d10.773527!4d106.7053407!16s%2Fg%2F1pzpkw6tp!19sChIJ8bkqqCpTaDERsRgpzDYTR18?authuser=0&hl=vi&rclk=1,624
VIP98 LUXURY RESTAURANT,"4,2",https://www.google.com/maps/place/VIP98+LUXURY+RESTAURANT/data=!4m7!3m6!1s0x31752f3687c44bc3:0x104482dc6d085ca0!8m2!3d10.7754391!4d106.7026603!16s%2Fg%2F11hckfk2q_!19sChIJw0vEhzYvdTERoFwIbdyCRBA?authuser=0&hl=vi&rclk=1,544
Quán Ngõ 89,"4,0",https://www.google.com/maps/place/Qu%C3%A1n+Ng%C3%B5+89/data=!4m7!3m6!1s0x31752f38158ac83f:0x695a08f47c9d55ee!8m2!3d10.777104!4d106.6986643!16s%2Fg%2F11b6t435h2!19sChIJP8iKFTgvdTER7lWdfPQIWmk?authuser=0&hl=vi&rclk=1,345
Ngan Dinh Saigon,"4,3",https://www.google.com/maps/place/Ngan+Dinh+Saigon/data=!4m7!3m6!1s0x31752f468c281dcd:0x2d8f105a0611ee31!8m2!3d10.7748101!4d106.7046131!16s%2Fg%2F11g81c684x!19sChIJzR0ojEYvdTERMe4RBloQjy0?authuser=0&hl=vi&rclk=1,704
Cà phê Sài Gòn Ơi,"4,1",https://www.google.com/maps/place/C%C3%A0+ph%C3%AA+S%C3%A0i+G%C3%B2n+%C6%A0i/data=!4m7!3m6!1s0x31752f46ea37b9c3:0x45fbe8de0dfcd227!8m2!3d10.774112!4d106.704089!16s%2Fg%2F11bxd7v_q1!19sChIJw7k36kYvdTERJ9L8Dd7o-0U?authuser=0&hl=vi&rclk=1,719
Calibre Lounge,"4,5",https://www.google.com/maps/place/Calibre+Lounge/data=!4m7!3m6!1s0x31752f46efbcb7a5:0x959a09de36fb590!8m2!3d10.7743999!4d106.7037418!16s%2Fg%2F1pzvmrbcg!19sChIJpbe870YvdTERkLVv452gWQk?authuser=0&hl=vi&rclk=1,51
Café Cardinal,"4,3",https://www.google.com/maps/place/Caf%C3%A9+Cardinal/data=!4m7!3m6!1s0x31752f46be62d371:0xe1d78b18debffcf2!8m2!3d10.7737284!4d106.7046379!16s%2Fg%2F11bt_gxp9q!19sChIJcdNivkYvdTER8vy_3hiL1-E?authuser=0&hl=vi&rclk=1,145
Long Geylang - Dimsum House,"4,1",https://www.google.com/maps/place/Long+Geylang+-+Dimsum+House/data=!4m7!3m6!1s0x31752ffe9c066585:0xc7a95341fc528f84!8m2!3d10.7695116!4d106.7029098!16s%2Fg%2F11hyqy3c2y!19sChIJhWUGnP4vdTERhI9S_EFTqcc?authuser=0&hl=vi&rclk=1,661
Long Geylang - Dimsum House,"4,1",https://www.google.com/maps/place/Long+Geylang+-+Dimsum+House/data=!4m7!3m6!1s0x31752ffe9c066585:0xc7a95341fc528f84!8m2!3d10.7695116!4d106.7029098!16s%2Fg%2F11hyqy3c2y!19sChIJhWUGnP4vdTERhI9S_EFTqcc?authuser=0&hl=vi&rclk=1,661
Nhà Hàng Phố 79 (chi nhánh 1),"4,2",https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Ph%E1%BB%91+79+%28chi+nh%C3%A1nh+1%29/data=!4m7!3m6!1s0x31752f3cc5800b5f:0x93508afa2a0fa35c!8m2!3d10.7714457!4d106.6884479!16s%2Fg%2F11ysrqcw5!19sChIJXwuAxTwvdTERXKMPKvqKUJM?authuser=0&hl=vi&rclk=1,610
Gyu Shige - Ngưu Phồn - Đông Du,"4,5",https://www.google.com/maps/place/Gyu+Shige+-+Ng%C6%B0u+Ph%E1%BB%93n+-+%C4%90%C3%B4ng+Du/data=!4m7!3m6!1s0x31752fd7dfc260a3:0xa0fe7d7ac810d254!8m2!3d10.77643!4d106.7047508!16s%2Fg%2F11j2l8zzpn!19sChIJo2DC39cvdTERVNIQyHp9_qA?authuser=0&hl=vi&rclk=1,843
Dynasty House (CN Đồng Khởi),"4,5",https://www.google.com/maps/place/Dynasty+House+%28CN+%C4%90%E1%BB%93ng+Kh%E1%BB%9Fi%29/data=!4m7!3m6!1s0x31752fcede8f52f5:0xd087c0db3a5f90c9!8m2!3d10.7736993!4d106.7057878!16s%2Fg%2F11sc99m5sg!19sChIJ9VKP3s4vdTERyZBfOtvAh9A?authuser=0&hl=vi&rclk=1,174
SUSHI TEI,"4,3",https://www.google.com/maps/place/SUSHI+TEI/data=!4m7!3m6!1s0x31752f78590e28df:0x985fd0a3779f8459!8m2!3d10.7744629!4d106.7028289!16s%2Fg%2F11txchh9c8!19sChIJ3ygOWXgvdTERWYSfd6PQX5g?authuser=0&hl=vi&rclk=1,598
Cơm Quê Dượng Bầu - Vietnamese Homecooked Cuisine,"4,1",https://www.google.com/maps/place/C%C6%A1m+Qu%C3%AA+D%C6%B0%E1%BB%A3ng+B%E1%BA%A7u+-+Vietnamese+Homecooked+Cuisine/data=!4m7!3m6!1s0x31752fb8746e1207:0xd16a3c2b8dfd8045!8m2!3d10.7734296!4d106.7051744!16s%2Fg%2F11sdyk5kzp!19sChIJBxJudLgvdTERRYD9jSs8atE?authuser=0&hl=vi&rclk=1,849
Cơm tấm Út Thảo (Thao's Cafe),"4,5",https://www.google.com/maps/place/C%C6%A1m+t%E1%BA%A5m+%C3%9At+Th%E1%BA%A3o+%28Thao%27s+Cafe%29/data=!4m7!3m6!1s0x31752f408c3ea5a3:0xd7e998b7ef490069!8m2!3d10.7716871!4d106.7033394!16s%2Fg%2F11y0ll_q4!19sChIJo6U-jEAvdTERaQBJ77eY6dc?authuser=0&hl=vi&rclk=1,72
The Indian House,"4,5",https://www.google.com/maps/place/The+Indian+House/data=!4m7!3m6!1s0x31752f1660cedde9:0x9cf1784aef53e108!8m2!3d10.7739338!4d106.7026064!16s%2Fg%2F11sbptg0w2!19sChIJ6d3OYBYvdTERCOFT70p48Zw?authuser=0&hl=vi&rclk=1,550
Bier Garden,"4,0",https://www.google.com/maps/place/Bier+Garden/data=!4m7!3m6!1s0x31752f4659af826f:0x8d60a5837aec32c3!8m2!3d10.7752488!4d106.7037322!16s%2Fg%2F11xjlbh2y!19sChIJb4KvWUYvdTERwzLseoOlYI0?authuser=0&hl=vi&rclk=1,449
Gyu Shige - Ngưu Phồn,"4,1",https://www.google.com/maps/place/Gyu+Shige+-+Ng%C6%B0u+Ph%E1%BB%93n/data=!4m7!3m6!1s0x31752f47681328ff:0xac4703db3979f40e!8m2!3d10.7732879!4d106.700798!16s%2Fg%2F11cs0r66bn!19sChIJ_ygTaEcvdTERDvR5OdsDR6w?authuser=0&hl=vi&rclk=1,515
KATINAT Nguyễn Huệ,"3,7",https://www.google.com/maps/place/KATINAT+Nguy%E1%BB%85n+Hu%E1%BB%87/data=!4m7!3m6!1s0x31752ff9ce3c9fbd:0x665e33488b044752!8m2!3d10.773516!4d106.7037579!16s%2Fg%2F11vjydtkdq!19sChIJvZ88zvkvdTERUkcEi0gzXmY?authuser=0&hl=vi&rclk=1,129
Buffet Gánh Khách Sạn Bông Sen,"4,1",https://www.google.com/maps/place/Buffet+G%C3%A1nh+Kh%C3%A1ch+S%E1%BA%A1n+B%C3%B4ng+Sen/data=!4m10!3m9!1s0x31752f46f645a715:0x1db38e0138646d79!5m2!4m1!1i2!8m2!3d10.7752081!4d106.7038091!16s%2Fg%2F11c6lfcb2j!19sChIJFadF9kYvdTEReW1kOAGOsx0?authuser=0&hl=vi&rclk=1,455
Meraki café,"4,2",https://www.google.com/maps/place/Meraki+caf%C3%A9/data=!4m7!3m6!1s0x31752f810952464d:0xa3c2077e9a1b3abc!8m2!3d10.7740558!4d106.7041078!16s%2Fg%2F11khbt1y8n!19sChIJTUZSCYEvdTERvDobmn4HwqM?authuser=0&hl=vi&rclk=1,562
